combo_identifier,optimizer,ansatz,ansatz_reps,training_time,score
"COBYLA, RealAmplitudes, reps=1",COBYLA,RealAmplitudes,1,282.14783096313477,0.8809523809523809
"COBYLA, RealAmplitudes, reps=2",COBYLA,RealAmplitudes,2,301.12649416923523,0.6666666666666666
"COBYLA, RealAmplitudes, reps=3",COBYLA,RealAmplitudes,3,320.1219449043274,0.8809523809523809
"COBYLA, RealAmplitudes, reps=4",COBYLA,RealAmplitudes,4,339.6408340930939,0.8095238095238095
"COBYLA, EfficientSU2, reps=1",COBYLA,EfficientSU2,1,363.92885398864746,0.6428571428571429
"COBYLA, EfficientSU2, reps=2",COBYLA,EfficientSU2,2,356.4599640369415,0.7380952380952381
"COBYLA, EfficientSU2, reps=3",COBYLA,EfficientSU2,3,349.1007490158081,0.7142857142857143
"COBYLA, EfficientSU2, reps=4",COBYLA,EfficientSU2,4,298.55443572998047,0.6428571428571429
"SLSQP, RealAmplitudes, reps=1",SLSQP,RealAmplitudes,1,4023.090929031372,0.8095238095238095
"SLSQP, RealAmplitudes, reps=2",SLSQP,RealAmplitudes,2,5271.153453111649,0.7380952380952381
"SLSQP, RealAmplitudes, reps=3",SLSQP,RealAmplitudes,3,7427.11527299881,0.8571428571428571
"SLSQP, RealAmplitudes, reps=4",SLSQP,RealAmplitudes,4,10195.563257932663,0.8333333333333334
"SLSQP, EfficientSU2, reps=1",SLSQP,EfficientSU2,1,7180.374086141586,0.8333333333333334
"SLSQP, EfficientSU2, reps=2",SLSQP,EfficientSU2,2,10245.37405705452,0.8095238095238095
"SLSQP, EfficientSU2, reps=3",SLSQP,EfficientSU2,3,21101.92470574379,0.7619047619047619
"SLSQP, EfficientSU2, reps=4",SLSQP,EfficientSU2,4,29815.57852101326,0.8333333333333334
